antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Barbarian Barrel'}),frozenset({'Baby Dragon'}),0.3543920380787538,0.3600173085244483,0.1869320640415404,0.5274725274725273,1.4651310228233299,1.0,0.05934479632993364,1.3543819749831438,0.4917336907953524,0.3543888433141918,0.26165585597634244,0.5233516483516482
frozenset({'Baby Dragon'}),frozenset({'Barbarian Barrel'}),0.3600173085244483,0.3543920380787538,0.1869320640415404,0.519230769230769,1.4651310228233299,1.0,0.05934479632993364,1.3428645607961918,0.49605589362181596,0.3543888433141918,0.255323262528356,0.5233516483516482
frozenset({'Baby Dragon'}),frozenset({'Executioner'}),0.3600173085244483,0.6101254868022501,0.2366940718303764,0.6574519230769229,1.077568364702673,1.0,0.017038336209661525,1.1381599823878168,0.11247903309341101,0.3227138643067846,0.12138889481772348,0.5226975927441352
frozenset({'Freeze'}),frozenset({'Baby Dragon'}),0.2276070964950238,0.3600173085244483,0.1181306793595846,0.5190114068441065,1.4416290399239544,1.0,0.03618818507838174,1.3305569000637956,0.3966119781245832,0.2516129032258065,0.2484349974420082,0.42356820342205326
frozenset({'Goblin Cage'}),frozenset({'Baby Dragon'}),0.1363046300302899,0.3600173085244483,0.1008221549112938,0.7396825396825397,2.054574938949939,1.0,0.05175012886836815,2.4584700953024248,0.5942851367971996,0.2549234135667396,0.5932429676851584,0.5098653083028083
frozenset({'Golem'}),frozenset({'Baby Dragon'}),0.1449588922544353,0.3600173085244483,0.1194288186932064,0.8238805970149253,2.288447187141217,1.0,0.0672411084570791,3.6338000278696576,0.6584741536114533,0.30976430976430974,0.724805990332314,0.5778056831228473
frozenset({'Graveyard'}),frozenset({'Baby Dragon'}),0.2540025962786672,0.3600173085244483,0.1488533102553007,0.58603066439523,1.62778469401127,1.0,0.0574079791848329,1.5459664193257157,0.516983219122646,0.31999999999999995,0.3531554194843654,0.49974610142838416
frozenset({'Lightning'}),frozenset({'Baby Dragon'}),0.2444829078321073,0.3600173085244483,0.138035482475119,0.5646017699115045,1.568262848876787,1.0,0.05001740401717296,1.4698789458686454,0.4796076657079146,0.29591836734693877,0.3196718663052649,0.47400761572498296
frozenset({'Night Witch'}),frozenset({'Baby Dragon'}),0.398096062310688,0.3600173085244483,0.2111639982691475,0.5304347826086955,1.473359113712374,1.0,0.06784252538187255,1.3629261022164523,0.5337709632178758,0.38607594936708844,0.26628450480642,0.5584866220735785
frozenset({'Baby Dragon'}),frozenset({'Night Witch'}),0.3600173085244483,0.398096062310688,0.2111639982691475,0.5865384615384613,1.473359113712374,1.0,0.06784252538187255,1.455767663248568,0.5020117713563659,0.38607594936708844,0.3130771995797154,0.5584866220735785
frozenset({'Baby Dragon'}),frozenset({'Tornado'}),0.3600173085244483,0.6603202077022934,0.2881869320640415,0.800480769230769,1.2122615056961386,1.0,0.05046022812275716,1.702491489106576,0.27359408089631193,0.3936170212765957,0.4126255512003914,0.6184579468696441
frozenset({'Balloon'}),frozenset({'Executioner'}),0.1713543920380787,0.6101254868022501,0.1025530073561229,0.5984848484848487,0.9809209112400606,1.0,-0.0019946745018134815,0.9710082215491136,-0.02293394301066893,0.15105162523900578,-0.029857397504455662,0.38328497743391376
frozenset({'Balloon'}),frozenset({'Tornado'}),0.1713543920380787,0.6603202077022934,0.1159671138035482,0.6767676767676767,1.0249083230734606,1.0,0.00281834606226386,1.0508843574210296,0.02932855305716829,0.16203143893591287,0.04842051084089275,0.4261951096813481
frozenset({'Bandit'}),frozenset({'Barbarian Barrel'}),0.2609260060579835,0.3543920380787538,0.1328429251406317,0.5091210613598672,1.4366041181961577,1.0,0.04037282606599367,1.3152081116165926,0.41120917849705135,0.275336322869955,0.23966405683823935,0.441984218103621
frozenset({'Bandit'}),frozenset({'Electro Wizard'}),0.2609260060579835,0.298572046733016,0.1631328429251406,0.6252072968490879,2.093991395678612,1.0,0.08522763125053713,1.8715090965486345,0.706888786736158,0.4115720524017467,0.46567184640237025,0.5857920542216454
frozenset({'Electro Wizard'}),frozenset({'Bandit'}),0.298572046733016,0.2609260060579835,0.1631328429251406,0.5463768115942028,2.093991395678612,1.0,0.08522763125053713,1.6292685489456593,0.74482791347647,0.4115720524017467,0.38622764144859645,0.5857920542216454
frozenset({'Bandit'}),frozenset({'Magic Archer'}),0.2609260060579835,0.38035482475119,0.1358719169190826,0.5207296849087893,1.3690629144757818,1.0,0.03662745161187035,1.2928928743080705,0.36474477542922756,0.268835616438356,0.22654071356439395,0.43897690161252884
frozenset({'P.E.K.K.A'}),frozenset({'Bandit'}),0.2094331458243185,0.2609260060579835,0.1298139333621808,0.6198347107438013,2.3755190987212687,1.0,0.07516737908608215,1.9440859405866067,0.7324356869184454,0.3811944091486656,0.48561944761646647,0.5586735742773732
