support,itemsets
0.15015144958892254,frozenset({'Archers'})
0.3600173085244483,frozenset({'Baby Dragon'})
0.17135439203807876,frozenset({'Balloon'})
0.26092600605798355,frozenset({'Bandit'})
0.3543920380787538,frozenset({'Barbarian Barrel'})
0.3556901774123756,frozenset({'Bats'})
0.17524881003894419,frozenset({'Bomb Tower'})
0.11250540891389009,frozenset({'Dart Goblin'})
0.298572046733016,frozenset({'Electro Wizard'})
0.24275205538727823,frozenset({'Elixir Golem'})
0.6101254868022501,frozenset({'Executioner'})
0.18044136737343142,frozenset({'Fireball'})
0.2276070964950238,frozenset({'Freeze'})
0.21549112938122025,frozenset({'Giant Snowball'})
0.1293812202509736,frozenset({'Goblin Barrel'})
0.13630463003028992,frozenset({'Goblin Cage'})
0.18563392470791865,frozenset({'Goblin Gang'})
0.1449588922544353,frozenset({'Golem'})
0.2540025962786672,frozenset({'Graveyard'})
0.14409346603202078,frozenset({'Hog Rider'})
0.23150151449588924,frozenset({'Ice Golem'})
0.24664647338814366,frozenset({'Ice Spirit'})
0.18217221981826048,frozenset({'Ice Wizard'})
0.11596711380354825,frozenset({'Inferno Dragon'})
0.11596711380354825,frozenset({'Knight'})
0.2444829078321073,frozenset({'Lightning'})
0.18044136737343142,frozenset({'Lumberjack'})
0.38035482475119,frozenset({'Magic Archer'})
0.28688879273041973,frozenset({'Mega Knight'})
0.13587191691908265,frozenset({'Mega Minion'})
0.39896148853310254,frozenset({'Miner'})
0.13890090869753355,frozenset({'Mini P.E.K.K.A'})
0.11899610558199913,frozenset({'Minions'})
0.17697966248377325,frozenset({'Musketeer'})
0.398096062310688,frozenset({'Night Witch'})
0.2094331458243185,frozenset({'P.E.K.K.A'})
0.37343141497187365,frozenset({'Poison'})
0.13327563825183902,frozenset({'Princess'})
0.3089571614019905,frozenset({'Rocket'})
0.1194288186932064,frozenset({'Royal Giant'})
0.13587191691908265,frozenset({'Skeleton Army'})
0.5097360450021635,frozenset({'Skeletons'})
0.16443098225876243,frozenset({'Sparky'})
0.1622674167027261,frozenset({'Tesla'})
0.5668541756815232,frozenset({'The Log'})
0.6603202077022934,frozenset({'Tornado'})
0.3942016443098226,frozenset({'Valkyrie'})
0.24881003894418,frozenset({'Wall Breakers'})
0.12678494158373,frozenset({'X-Bow'})
0.48593682388576376,frozenset({'Zap'})
0.18693206404154045,"frozenset({'Barbarian Barrel', 'Baby Dragon'})"
0.10601471224578105,"frozenset({'Electro Wizard', 'Baby Dragon'})"
0.23669407183037647,"frozenset({'Executioner', 'Baby Dragon'})"
0.1181306793595846,"frozenset({'Freeze', 'Baby Dragon'})"
0.10082215491129382,"frozenset({'Goblin Cage', 'Baby Dragon'})"
0.1194288186932064,"frozenset({'Golem', 'Baby Dragon'})"
0.14885331025530074,"frozenset({'Graveyard', 'Baby Dragon'})"
0.138035482475119,"frozenset({'Lightning', 'Baby Dragon'})"
0.21116399826914756,"frozenset({'Night Witch', 'Baby Dragon'})"
0.14322803980960624,"frozenset({'Poison', 'Baby Dragon'})"
0.12635222847252273,"frozenset({'Skeletons', 'Baby Dragon'})"
0.16183470359151883,"frozenset({'The Log', 'Baby Dragon'})"
0.28818693206404156,"frozenset({'Tornado', 'Baby Dragon'})"
0.1181306793595846,"frozenset({'Valkyrie', 'Baby Dragon'})"
0.12851579402855906,"frozenset({'Baby Dragon', 'Zap'})"
0.1025530073561229,"frozenset({'Executioner', 'Balloon'})"
0.11596711380354825,"frozenset({'Tornado', 'Balloon'})"
0.13284292514063176,"frozenset({'Barbarian Barrel', 'Bandit'})"
0.16313284292514063,"frozenset({'Electro Wizard', 'Bandit'})"
0.1138035482475119,"frozenset({'Executioner', 'Bandit'})"
0.13587191691908265,"frozenset({'Magic Archer', 'Bandit'})"
0.12332323669407183,"frozenset({'Bandit', 'Mega Knight'})"
0.12029424491562095,"frozenset({'Bandit', 'Miner'})"
0.12981393336218086,"frozenset({'Bandit', 'P.E.K.K.A'})"
0.12289052358286456,"frozenset({'Poison', 'Bandit'})"
0.10212029424491562,"frozenset({'The Log', 'Bandit'})"
0.11856339247079187,"frozenset({'Tornado', 'Bandit'})"
0.18823020337516227,"frozenset({'Bandit', 'Zap'})"
0.12635222847252273,"frozenset({'Barbarian Barrel', 'Electro Wizard'})"
0.22544353093898745,"frozenset({'Barbarian Barrel', 'Executioner'})"
0.11077455646906101,"frozenset({'Barbarian Barrel', 'Giant Snowball'})"
0.10731285157940286,"frozenset({'Barbarian Barrel', 'Graveyard'})"
0.14192990047598442,"frozenset({'Lightning', 'Barbarian Barrel'})"
0.12981393336218086,"frozenset({'Barbarian Barrel', 'Magic Archer'})"
0.10558199913457378,"frozenset({'Barbarian Barrel', 'Mega Knight'})"
0.12159238424924275,"frozenset({'Barbarian Barrel', 'Miner'})"
0.1834703591518823,"frozenset({'Barbarian Barrel', 'Night Witch'})"
0.15015144958892254,"frozenset({'Barbarian Barrel', 'Poison'})"
0.14063176114236262,"frozenset({'Barbarian Barrel', 'Skeletons'})"
0.13414106447425356,"frozenset({'Barbarian Barrel', 'The Log'})"
0.25530073561228905,"frozenset({'Barbarian Barrel', 'Tornado'})"
0.10774556469061013,"frozenset({'Barbarian Barrel', 'Valkyrie'})"
0.14409346603202078,"frozenset({'Barbarian Barrel', 'Zap'})"
0.11639982691475552,"frozenset({'Bomb Tower', 'Bats'})"
0.18260493292946775,"frozenset({'Executioner', 'Bats'})"
0.10168758113370835,"frozenset({'Bats', 'Ice Golem'})"
0.1648636953699697,"frozenset({'Magic Archer', 'Bats'})"
0.13154478580700996,"frozenset({'Bats', 'Mega Knight'})"
